Ensembl_gene,Symbol,MoGene_Enrich,MoGene_Hedges_g,MoGene_Var_g,MoGene_SEg
ENSMUSG00000025935,Tram1,0.7386205555633332,5.46605081145052,0.7784266449829416,0.8822849001218039
ENSMUSG00000055862,Izumo4,1.4249772222191694,5.465836759381119,0.778377895125504,0.8822572726396218
ENSMUSG00000021646,Mccc2,0.9040819117641661,5.462540515686156,0.777627424402814,0.8818318572170173
ENSMUSG00000031093,Dock11,1.4329352777774984,5.452408383562401,0.775323430561747,0.8805245201365758
ENSMUSG00000033059,Pygb,0.645232619041666,5.448353052015911,0.7744024680256956,0.8800014022862097
ENSMUSG00000054667,Irs4,2.863751250000001,5.443206353131527,0.7732346435123691,0.8793376163410555
ENSMUSG00000009905,Kdsr,0.6541973611141696,5.430515424750612,0.770359693005763,0.8777013689209805
ENSMUSG00000017453,Pipox,1.887018750000001,5.425254447032039,0.7691698604346503,0.8770232952633871
ENSMUSG00000054013,Tmem179,1.3708614583333318,5.423247352134479,0.7687162360053321,0.8767646411696426
ENSMUSG00000042607,Asb4,3.2723125000000026,5.417992096444973,0.767529288395052,0.8760874890072634
ENSMUSG00000032352,Lrrc1,0.9661677976183336,5.414978931358358,0.7668492565182753,0.8756992957164436
ENSMUSG00000051323,Pcdh19,1.4848366666666664,5.408643337280977,0.765420629911171,0.8748832092977731
ENSMUSG00000015942,Gtf2ird2,0.6120308333324997,5.408358975409186,0.765356547764821,0.8748465852735673
ENSMUSG00000026355,Mcm6,0.8224014880958332,5.405523500880168,0.7647177459247936,0.8744814154256187
ENSMUSG00000042043,Tbca,0.8830802777791682,5.372480356555611,0.757298180570796,0.8702288093201672
ENSMUSG00000082480,Gm11687,0.779874999999997,5.371209326924965,0.7570136899889175,0.8700653366207146
ENSMUSG00000005103,Wdr1,0.7181181250000019,5.36932268704061,0.7565915334039853,0.8698227022813243
ENSMUSG00000049571,9330101J02Rik,2.4923795833324984,5.365451224063363,0.7557257150755279,0.8693248616458222
ENSMUSG00000042595,Fam199x,0.719834861110833,5.3621772504238265,0.7549940073080237,0.8689039114355647
ENSMUSG00000044165,Bcl2l15,0.660662499999999,5.358812161845964,0.754242401495219,0.8684713014804917
ENSMUSG00000032199,Polr2m,0.5591238888916674,5.356734869692528,0.7537786656250444,0.8682042764378924
ENSMUSG00000074637,Sox2,1.1364730555524982,5.354576242458504,0.7532969629609028,0.8679268188971365
ENSMUSG00000008892,Vdac3,0.6148760185083297,5.352378755941817,0.752806788184991,0.8676443903956222
ENSMUSG00000002771,Grin2d,1.4277067592575001,5.347436251957072,0.751705040720146,0.8670092506543088
ENSMUSG00000024583,Txnl1,0.9479846875000018,5.342042178747799,0.7505037942779756,0.8663162207173404
ENSMUSG00000040463,Mybbp1a,1.0360803703675003,5.341712777443606,0.750430476719304,0.866273903981474
ENSMUSG00000032305,Fam219b,0.8171591666666647,5.336378463251008,0.7492438039348229,0.8655887036779205
ENSMUSG00000061167,Rpl15-ps3,0.6978975000000016,5.335718490994419,0.749097068770043,0.8655039391996104
ENSMUSG00000056215,Lrguk,2.3051508333333333,5.333928838228577,0.7486992570230993,0.8652740935813918
ENSMUSG00000024033,Rsph1,1.829981979166666,5.331788910084939,0.7482237597401468,0.864999283086493
ENSMUSG00000050394,Armcx6,0.868776875,5.325040530245528,0.7467255028037475,0.8641328039160112
ENSMUSG00000025791,Pgm2,1.5834645833333347,5.309434015907742,0.743267855314594,0.8621298366920113
ENSMUSG00000029162,Khk,0.6442491666675014,5.308805963435492,0.7431289217339696,0.8620492571390393
ENSMUSG00000050211,Pla2g4e,1.4135524358983327,5.294555716930238,0.7399809942812702,0.8602214797837068
ENSMUSG00000074500,Zfp558,1.0643900000008344,5.291994442056718,0.7394160970954479,0.8598930730593473
ENSMUSG00000028167,Bdh2,1.2433207291666664,5.28929413456714,0.7388208318289302,0.8595468758764295
ENSMUSG00000083087,Gm11249,0.7606833333333327,5.288250974356407,0.7385909552834122,0.8594131458637413
ENSMUSG00000054162,Spock3,1.096517500000001,5.288193043998261,0.7385781907586227,0.8594057195286885
ENSMUSG00000017677,Wsb1,1.8071961111008346,5.279696404093735,0.7367075334421379,0.8583166859860863
ENSMUSG00000042258,Isl1,1.5829905000000002,5.278804696628279,0.7365113856451476,0.8582024153107165
ENSMUSG00000038257,Glra3,2.1590054629600006,5.2754687614355475,0.7357778778896794,0.8577749576023302
ENSMUSG00000025268,Maged2,1.5117932051275007,5.275096075179959,0.7356959601708607,0.857727206150569
ENSMUSG00000037533,Rapgef6,1.0335769444449987,5.270380194277469,0.7346598932928025,0.8571230327629765
ENSMUSG00000045466,Zfp956,0.9398687499991665,5.26547799155609,0.7335838742788304,0.8564951104815662
ENSMUSG00000030846,Tial1,1.3499091666666665,5.259935863628385,0.7323685994855498,0.8557853699880302
ENSMUSG00000071550,Wdr52,2.075577546296665,5.256244977946257,0.731559974041824,0.8553127931007604
ENSMUSG00000035227,Spcs2,0.6949026666666676,5.253931938651965,0.7310535062876978,0.8550166701811713
ENSMUSG00000008489,Elavl2,1.179335833333333,5.234773780758021,0.7268671671152902,0.8525650515446257
ENSMUSG00000026614,Slc30a10,0.8634253333333337,5.234234942746786,0.7267496442019532,0.8524961256228402
ENSMUSG00000032403,2300009A05Rik,0.9662991666666665,5.229447273257808,0.7257059639501214,0.8518837737333195
ENSMUSG00000033096,Apmap,1.3538574999999984,5.2246335077128006,0.7246575578278679,0.8512682055779294
ENSMUSG00000037771,Slc32a1,1.691231666666667,5.207132181193229,0.7208540216300097,0.8490312253562937
ENSMUSG00000043183,Simc1,1.0918512500000004,5.199937617440871,0.7192941398145614,0.8481121033298378
ENSMUSG00000042156,Dzip1,0.6783570454408316,5.198661973266292,0.7190177874605684,0.8479491656111046
ENSMUSG00000072324,Gm8420,0.772789166666664,5.190764946363221,0.7173085044628226,0.8469406735201838
ENSMUSG00000036411,9530077C05Rik,0.8593987500000004,5.179367030877578,0.714846048465915,0.8454856879131161
ENSMUSG00000042761,Mrap2,2.2323927777783332,5.178052595782356,0.714562420218973,0.8453179403153426
ENSMUSG00000041415,Dicer1,0.7433455666666653,5.177807404216249,0.7145095208537274,0.845286650109729
ENSMUSG00000006931,Leprel4,0.8432711111116662,5.172580375403303,0.7133824005381183,0.8446196780433891
ENSMUSG00000004815,Dgkq,1.2398407291666658,5.162981888289741,0.7113156138464625,0.8433952892010143
ENSMUSG00000040407,Akap9,1.0268505,5.162912709941824,0.7113007320062735,0.8433864665776144
ENSMUSG00000020843,Timm22,1.1138354166666673,5.15863299213737,0.7103804548623012,0.8428407055086395
ENSMUSG00000042213,Zfand4,1.9393149999999997,5.1486399312551105,0.7082345964070195,0.8415667510108865
ENSMUSG00000064061,Dzip3,0.754744999999998,5.146408286484438,0.7077559528545414,0.8412823264841247
ENSMUSG00000051705,Senp8,1.132204166666666,5.138693526657074,0.7061028884735338,0.8402992850607061
ENSMUSG00000022722,Arl6,0.6939287499999995,5.135341452096681,0.705385402405099,0.8398722536225964
ENSMUSG00000057315,Arhgap24,1.377457499998334,5.13257740849909,0.704794132084532,0.8395201796767794
